survey,citation
aes1987,"McAllister, Ian; Mughan, Anthony, 2017, ""Australian Election Study, 1987"", doi:10.4225/87/PQFNYM, ADA Dataverse, V1, UNF:6:VESCaglPchz+yLi+GnhN6Q=="
aes1990,"McAllister, Ian; Jones, Roger; Papadakis, Elim; Gow, David, 2017, ""Australian Election Study, 1990"", doi:10.4225/87/KPVA0F, ADA Dataverse, V1, UNF:6:XREWxMZShlKA3k525fB+Bg=="
aes1993,"Jones, Roger; McAllister, Ian; Denemark, David; Gow, David, 2017, ""Australian Election Study, 1993"", doi:10.4225/87/ZZ3NOB, ADA Dataverse, V1, UNF:6:3C/DZ94Ci0V2mfL02PVpXw=="
aes1996,"Jones, Roger; McAllister, Ian; Gow, David, 2017, ""Australian Election Study, 1996"", doi:10.4225/87/NSDHWM, ADA Dataverse, V1, UNF:6:V05mNiOGYLZnBaihME2SIA=="
aes1998,"Bean, Clive; Gow, David; McAllister, Ian, 2017, ""Australian Election Study, 1998"", doi:10.4225/87/FFBWUU, ADA Dataverse, V2, UNF:6:pmAXB4lfnfvlseqWTWKOkg=="
aes2001,"Bean, Clive; Gow, David; McAllister, Ian, 2017, ""Australian Election Study, 2001"", doi:10.4225/87/CALXMK, ADA Dataverse, V1, UNF:6:8dudxHV83HO/5+itv3DNjA=="
aes2004,"Bean, Clive; McAllister, Ian; Gibson, Rachel; Gow, David, 2017, ""Australian Election Study, 2004"", doi:10.4225/87/G9ITIO, ADA Dataverse, V1, UNF:6:Qer+KzJrJC+zlC3Gm6qDmw=="
aes2007,"Bean, Clive; McAllister, Ian; Gow, David, 2017, ""Australian Election Study, 2007"", doi:10.4225/87/ZBUOW0, ADA Dataverse, V1, UNF:6:D7a6fhN+szVMSQF9xIh5+A=="
aes2010,"McAllister, Ian; Bean, Clive; Gibson, Rachel Kay; Pietsch, Juliet, 2017, ""Australian Election Study, 2010"", doi:10.4225/87/CYJNSM, ADA Dataverse, V2, UNF:6:3iyzr2dBihOrVkbafFkRZA=="
aes2013,"Bean, Clive; McAllister, Ian; Pietsch, Juliet; Gibson, Rachel Kay, 2017, ""Australian Election Study, 2013"", doi:10.4225/87/WDBBAS, ADA Dataverse, V3, UNF:6:6gMySFLvbEH1ccG58om4Sg=="
aes2016,"McAllister, Ian; Makkai, Toni; Bean, Clive; Gibson, Rachel Kay, 2017, ""Australian Election Study, 2016"", doi:10.4225/87/7OZCZA, ADA Dataverse, V2, UNF:6:TNnUHDn0ZNSlIM94TQphWw=="
aes2019,"McAllister, Ian; Bean, Clive; Gibson, Rachel; Makkai, Toni; Sheppard, Jill; Cameron, Sarah, 2019, ""Australian Election Study, 2019"", doi:10.26193/KMAMMW, ADA Dataverse, V2"
afrob1,x
afrob2,x
afrob3,x
afrob4,x
afrob5,x
afrob6,x
allbus,"GESIS - Leibniz Institute for the Social Sciences (2020): German General Social Survey (ALLBUS) – Cumulation 1980-2018. GESIS Data Archive, Cologne. ZA5276 Data file Version 1.0.0, https://doi.org/10.4232/1.13483 "
allbus2021,"GESIS - Leibniz-Institut fu_r Sozialwissenschaften (2022): Allgemeine Bevölkerungsumfrage der Sozialwissenschaften ALLBUS 2021. GESIS Datenarchiv, Köln. ZA5280 Datenfile Version 2.0.0, http://dx.doi.org/10.4232/1.14002 id"
anes_combo,American National Election Studies. 2018. ANES Time Series Cumulative Data File [dataset and documentation]. December 2018 version. www.electionstudies.org 
anes2020,"American National Election Studies. 2021. ANES 2020 Time Series Study Preliminary Release: Combined Pre-Election and Post-Election Data [dataset and documentation]. March 24, 2021 version. www.electionstudies.org "
amb_combo,x
amb_antigua2016,x
amb_argentina2010,x
amb_argentina2012,x
amb_argentina2014,x
amb_argentina2016,x
amb_argentina2018,x
amb_bolivia2010,x
amb_bolivia2012,x
amb_bolivia2014,x
amb_bolivia2016,x
amb_bolivia2018,x
amb_brazil2016,x
amb_brazil2018,x
amb_canada2010,x
amb_canada2012,x
amb_canada2014,x
amb_canada2016,x
amb_canada2018,x
amb_chile2010,x
amb_chile2012,x
amb_chile2014,x
amb_chile2016,x
amb_chile2018,x
amb_colombia2009,x
amb_colombia2011,x
amb_colombia2016,x
amb_costarica2016,x
amb_costarica2018,x
amb_dominica2016,x
amb_ecuador2014,x
amb_ecuador2018,x
amb_grenada2016,x
amb_guyana2016,x
amb_panama2016,x
amb_panama2018,x
amb_stkittsnevis2016,x
amb_stlucia2016,x
amb_stvincent2016,x
amb_suriname2010,x
amb_suriname2012,x
amb_trinidad2010,x
amb_trinidad2012,x
amb_uruguay2016,x
amb_uruguay2018,x
amb_us2010,x
amb_us2012,x
amb_us2014,x
amb_us2016,x
amb_us2018,x
amb_us2021,x
amb_venezuela2010,x
amb_venezuela2012,x
amb_venezuela2014,x
amb_venezuela2016,x
arabb1,x
arabb2,x
arabb3,x
arabb4,x
arabb5,x
arabb7,x
ases2000,"Inoguchi, Takashi. Asia Europe Survey (ASES): A Multinational Comparative Study in 18 Countries, 2001. ICPSR22324-v1. Ann Arbor, MI: Inter-university Consortium of Political and Social Research [distributor], 2008-06-24. http://doi.org/10.3886/ICPSR22324.v1 "
asianb1,x
asianb2,x
asianb3,x
asianb4,x
asianb5_australia,x
asianb5_india,x
asianb5_indonesia,x
asianb5_japan,x
asianb5_korea,x
asianb5_malaysia,x
asianb5_mongolia,x
asianb5_myanmar,x
asianb5_philippines,x
asianb5_taiwan,x
asianb5_thailand,x
asianb5_vietnam,x
