year,survey,name,creator,version,link
1999,afrob1,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-1-data-12-countries-1999-2001/
2000,afrob1,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-1-data-12-countries-1999-2002/
2001,afrob1,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-1-data-12-countries-1999-2003/
2002,afrob2,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B0%5D=survey-r-2&hidden-current-page=1&current-page=2#listing
2003,afrob2,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B0%5D=survey-r-2&hidden-current-page=1&current-page=1#listing
2004,afrob2,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-2-data-16-countries-2004/
2005,afrob3,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-3-data-18-countries-2005/
2006,afrob3,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B%5D=survey-r-3&hidden-current-page=1#listing
2008,afrob4,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-4-data-20-countries-2008/
2009,afrob4,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B%5D=survey-r-4&hidden-current-page=1#listing
2011,afrob5,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B0%5D=survey-r-5&hidden-current-page=1&current-page=4#listing
2012,afrob5,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B0%5D=survey-r-5&hidden-current-page=1&current-page=3#listing
2013,afrob5,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/data/data-sets/?select-survey-rs%5B0%5D=survey-r-5&hidden-current-page=1&current-page=2#listing
2014,afrob6,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-5-data-34-countries-2015/
2015,afrob6,Afrobarometer,Afrobarometer,,https://www.afrobarometer.org/survey-resource/merged-r-5-data-34-countries-2015/
2020,anes2020,American National Election Studies,"ANGUS CAMPBELL,PHILIP CONVERSE,WARREN MILLER,DONALD STOKES",v3,https://electionstudies.org/data-center/2020-time-series-study/
1982,anes_combo,American National Election Studies,WARREN E. MILLER,v3,https://electionstudies.org/data-center/1980-time-series-study/
1984,anes_combo,American National Election Studies,WARREN E. MILLER,v3,https://electionstudies.org/data-center/1982-time-series-study/
1986,anes_combo,American National Election Studies,WARREN E. MILLER,v3,https://electionstudies.org/data-center/1984-time-series-study/
1988,anes_combo,American National Election Studies,WARREN E. MILLER,v3,https://electionstudies.org/data-center/1986-time-series/
1990,anes_combo,American National Election Studies,"Warren E. Miller,Donald R. Kinder,Steven J. Rosenstone ",v3,https://electionstudies.org/data-center/1988-time-series/
1992,anes_combo,American National Election Studies,"Warren E. Miller, Donald R. Kinder, Steven J. Rosenstone",v3,https://electionstudies.org/data-center/1990-time-series-study/
1994,anes_combo,American National Election Studies,"Steven J. Rosenstone, Warren E. Miller, Donald R. Kinder, and the National Election Studies ",v3,https://electionstudies.org/data-center/1992-time-series-study/
1996,anes_combo,American National Election Studies,Center for Political Studies ,v3,https://electionstudies.org/data-center/1994-time-series-study/
1998,anes_combo,American National Election Studies,Center for Political Studies,v3,https://electionstudies.org/data-center/1996-time-series-study/
2000,anes_combo,American National Election Studies,Center for Political Studies,v3,https://electionstudies.org/data-center/1998-time-series-study/
