country,year,item,r,n,survey,cc_rank
Germany,1977,int5_polit,1,403.071468543195,politbarometer_combo,536
Germany,1977,int5_polit,2,836.346824291915,politbarometer_combo,536
Germany,1977,int5_polit,3,345.147696651341,politbarometer_combo,536
Germany,1977,int5_polit,4,480.857364164239,politbarometer_combo,536
Germany,1977,int5_polit,5,133.047529354875,politbarometer_combo,536
Germany,1980,int5_allbus,1,296.60598843144,allbus,536
Germany,1980,int5_allbus,2,633.429738006124,allbus,536
Germany,1980,int5_allbus,3,1232.67437904049,allbus,536
Germany,1980,int5_allbus,4,544.447941476693,allbus,536
Germany,1980,int5_allbus,5,243.317454916638,allbus,536
Germany,1980,int5_polit,3,624.546851511051,politbarometer_combo,536
Germany,1980,int5_polit,4,1015.25360264686,politbarometer_combo,536
Germany,1980,int5_polit,5,371.368396815889,politbarometer_combo,536
Germany,1981,int4a_evs,1,181.698025374577,evs_combo,536
Germany,1981,int4a_evs,2,463.683512808744,evs_combo,536
Germany,1981,int4a_evs,3,561.750986776316,evs_combo,536
Germany,1981,int4a_evs,4,78.2735801417156,evs_combo,536
Germany,1981,int5_polit,3,155.308499866591,politbarometer_combo,536
Germany,1981,int5_polit,4,216.721860953567,politbarometer_combo,536
Germany,1981,int5_polit,5,114.696277203473,politbarometer_combo,536
Germany,1982,int2_eb,1,191.305845922532,eb17,536
Germany,1982,int2_eb,2,80.9900121715473,eb17,536
Germany,1982,int5_allbus,1,116.538963210702,allbus,536
Germany,1982,int5_allbus,2,327.109364548495,allbus,536
Germany,1982,int5_allbus,3,704.735618729097,allbus,536
Germany,1982,int5_allbus,4,267.089297658863,allbus,536
Germany,1982,int5_allbus,5,92.5309364548496,allbus,536
Germany,1982,int5_polit,3,263.067719590926,politbarometer_combo,536
Germany,1982,int5_polit,4,397.391449150943,politbarometer_combo,536
Germany,1982,int5_polit,5,130.933887803086,politbarometer_combo,536
Germany,1983,int4_eb,1,122.91,eb19,536
Germany,1983,int4_eb,2,384.7,eb19,536
Germany,1983,int4_eb,3,385.28,eb19,536
Germany,1983,int4_eb,4,147.69,eb19,536
Germany,1983,int5_gles,1,511,"ges1983, ges1983, ges1983",536
Germany,1983,int5_gles,2,1408,"ges1983, ges1983, ges1983",536
Germany,1983,int5_gles,3,632,"ges1983, ges1983, ges1983",536
Germany,1983,int5_gles,4,968,"ges1983, ges1983, ges1983",536
Germany,1983,int5_gles,5,308,"ges1983, ges1983, ges1983",536
Germany,1983,int5_polit,3,172.109176476084,politbarometer_combo,536
Germany,1983,int5_polit,4,284.68901423144,politbarometer_combo,536
Germany,1983,int5_polit,5,109.060468049327,politbarometer_combo,536
Germany,1984,int5_allbus,1,289.981206219033,allbus,536
Germany,1984,int5_allbus,2,630.773278660516,allbus,536
Germany,1984,int5_allbus,3,1310.81770032462,allbus,536
Germany,1984,int5_allbus,4,525.558858704938,allbus,536
Germany,1984,int5_allbus,5,234.037929267043,allbus,536
Germany,1986,int2_eb,1,678.52,eb26,536
Germany,1986,int2_eb,2,406.48,eb26,536
Germany,1986,int5_allbus,1,185.276229899697,allbus,536
Germany,1986,int5_allbus,2,628.756567425569,allbus,536
Germany,1986,int5_allbus,3,1378.73109377488,allbus,536
Germany,1986,int5_allbus,4,562.234516796689,allbus,536
Germany,1986,int5_allbus,5,338.523324311415,allbus,536
Germany,1986,int5_polit,3,162.108284114484,politbarometer_combo,536
Germany,1986,int5_polit,4,277.727060311614,politbarometer_combo,536
Germany,1986,int5_polit,5,92.1290248317033,politbarometer_combo,536
Germany,1987,int2_eb,1,668.448025939927,eb28,536
Germany,1987,int2_eb,2,288.551974060073,eb28,536
Germany,1987,int5_polit,3,164.107041498808,politbarometer_combo,536
Germany,1987,int5_polit,4,304.835929023438,politbarometer_combo,536
Germany,1987,int5_polit,5,102.041942389431,politbarometer_combo,536
Germany,1988,int4_eb,1,116.05,eb30,536
Germany,1988,int4_eb,2,373.21,eb30,536
Germany,1988,int4_eb,3,419.673,eb30,536
Germany,1988,int4_eb,4,135.237,eb30,536
Germany,1989,int3_eb,1,104.073468548416,eb31,536
Germany,1989,int3_eb,2,465.646780946378,eb31,536
Germany,1989,int3_eb,3,446.739449754628,eb31,536
Germany,1989,int4_eb,1,197.641714651607,"eb31a, eb32",536
Germany,1989,int4_eb,2,709.522541533073,"eb31a, eb32",536
Germany,1989,int4_eb,3,996.364622791722,"eb31a, eb32",536
Germany,1989,int4_eb,4,382.196778540277,"eb31a, eb32",536
Germany,1989,int4_ees,1,298.679997843809,ees1989,536
Germany,1989,int4_ees,2,1022.86999599636,ees1989,536
Germany,1989,int4_ees,3,1414.61000492068,ees1989,536
Germany,1989,int4_ees,4,511.840001402503,ees1989,536
Germany,1990,int2_eb,1,2151.64587431631,"eb34, eb342",536
Germany,1990,int2_eb,2,1139.52791857337,"eb34, eb342",536
Germany,1990,int4_eb,1,347.679620692548,"eb33, eb34",536
Germany,1990,int4_eb,2,969.797701303467,"eb33, eb34",536
Germany,1990,int4_eb,3,1238.70902593535,"eb33, eb34",536
Germany,1990,int4_eb,4,522.201132227986,"eb33, eb34",536
Germany,1990,int4_evs,1,226.559404039104,evs_combo,536
Germany,1990,int4_evs,2,718.520077088239,evs_combo,536
Germany,1990,int4_evs,3,1532.62834643371,evs_combo,536
Germany,1990,int4_evs,4,931.763232073514,evs_combo,536
Germany,1990,int5_allbus,1,135.553656869446,allbus,536
Germany,1990,int5_allbus,2,456.711551606288,allbus,536
Germany,1990,int5_allbus,3,1288.28110047847,allbus,536
Germany,1990,int5_allbus,4,753.886876281613,allbus,536
Germany,1990,int5_allbus,5,396.233766233766,allbus,536
Germany,1990,int5_issp,1,214,issp1990,536
Germany,1990,int5_issp,2,582,issp1990,536
Germany,1990,int5_issp,3,1555,issp1990,536
Germany,1990,int5_issp,4,927,issp1990,536
Germany,1990,int5_issp,5,544,issp1990,536
Germany,1990,int5_polit,1,99.4821027477497,politbarometer_combo,536
Germany,1990,int5_polit,2,177.363748927834,politbarometer_combo,536
Germany,1990,int5_polit,3,868.918366279852,politbarometer_combo,536
Germany,1990,int5_polit,4,740.175645052015,politbarometer_combo,536
Germany,1990,int5_polit,5,264.05558132834,politbarometer_combo,536
Germany,1991,int5_allbus,1,204.360570884801,allbus,536
Germany,1991,int5_allbus,2,557.064224630403,allbus,536
Germany,1991,int5_allbus,3,1324.91322632326,allbus,536
Germany,1991,int5_allbus,4,642.816936416055,allbus,536
Germany,1991,int5_allbus,5,317.112336797403,allbus,536
Germany,1991,int5_polit,3,335.739670822289,politbarometer_combo,536
Germany,1991,int5_polit,4,789.433279019557,politbarometer_combo,536
Germany,1991,int5_polit,5,289.414197028758,politbarometer_combo,536
Germany,1992,int2_eb,1,464.444254444682,eb372,536
Germany,1992,int2_eb,2,417.092430509462,eb372,536
Germany,1992,int3_eb,1,189.826193760587,eb381,536
Germany,1992,int3_eb,2,997.947201039918,eb381,536
Germany,1992,int3_eb,3,838.306592087531,eb381,536
Germany,1992,int5_allbus,1,204.501319488224,allbus,536
Germany,1992,int5_allbus,2,625.46227022677,allbus,536
Germany,1992,int5_allbus,3,1557.72183430205,allbus,536
Germany,1992,int5_allbus,4,747.304148872967,allbus,536
Germany,1992,int5_allbus,5,406.297307739889,allbus,536
Germany,1992,int5_polit,1,256.837518071436,politbarometer_combo,536
Germany,1992,int5_polit,2,675.169763368494,politbarometer_combo,536
Germany,1992,int5_polit,3,2660.95789076792,politbarometer_combo,536
Germany,1992,int5_polit,4,1791.88245145015,politbarometer_combo,536
Germany,1992,int5_polit,5,677.659836257167,politbarometer_combo,536
Germany,1993,int5_polit,1,523.079471732985,politbarometer_combo,536
Germany,1993,int5_polit,2,1175.10374346071,politbarometer_combo,536
Germany,1993,int5_polit,3,4410.93419786582,politbarometer_combo,536
Germany,1993,int5_polit,4,3048.88349526894,politbarometer_combo,536
Germany,1993,int5_polit,5,1130.35207757143,politbarometer_combo,536
Germany,1994,int4_eb,1,560.354755104165,"eb411, eb42",536
Germany,1994,int4_eb,2,1895.61686051688,"eb411, eb42",536
Germany,1994,int4_eb,3,1327.38726432354,"eb411, eb42",536
Germany,1994,int4_eb,4,362.148063427979,"eb411, eb42",536
Germany,1994,int4_ees,1,564.895652991958,ees1994,536
Germany,1994,int4_ees,2,1910.94259483931,ees1994,536
Germany,1994,int4_ees,3,1339.15200771881,ees1994,536
Germany,1994,int4_ees,4,364.959234260524,ees1994,536
Germany,1994,int5_allbus,1,337.645333821996,allbus,536
