country,year,item,r,n,survey,cc_rank
Spain,1981,disc3,1,687.1541301214,evs_combo,65
Spain,1981,disc3,2,1215.60177327753,evs_combo,65
Spain,1981,disc3,3,355.824639613041,evs_combo,65
Spain,1990,disc3,1,1979.59028553985,"evs_combo, wvs_combo",65
Spain,1990,disc3,2,1722.07403562819,"evs_combo, wvs_combo",65
Spain,1990,disc3,3,395.234915392964,"evs_combo, wvs_combo",65
Spain,1990,imp4,1,1859.41696766636,"evs_combo, wvs_combo",65
Spain,1990,imp4,2,1328.72676189889,"evs_combo, wvs_combo",65
Spain,1990,imp4,3,637.841471479616,"evs_combo, wvs_combo",65
Spain,1990,imp4,4,228.527644860685,"evs_combo, wvs_combo",65
Spain,1995,disc3,1,554.092063376549,wvs_combo,65
Spain,1995,disc3,2,495.493860964388,wvs_combo,65
Spain,1995,disc3,3,146.334898701787,wvs_combo,65
Spain,1995,imp4,1,517.038605519568,wvs_combo,65
Spain,1995,imp4,2,389.090450642676,wvs_combo,65
Spain,1995,imp4,3,185.057006596599,wvs_combo,65
Spain,1995,imp4,4,94.8318918207971,wvs_combo,65
Spain,1999,disc3,1,560,evs_combo,65
Spain,1999,disc3,2,549,evs_combo,65
Spain,1999,disc3,3,79,evs_combo,65
Spain,1999,imp4,1,492,evs_combo,65
Spain,1999,imp4,2,463,evs_combo,65
Spain,1999,imp4,3,177,evs_combo,65
Spain,1999,imp4,4,52,evs_combo,65
Spain,1999,news5,1,136,evs_combo,65
Spain,1999,news5,2,228,evs_combo,65
Spain,1999,news5,3,164,evs_combo,65
Spain,1999,news5,4,246,evs_combo,65
Spain,1999,news5,5,414,evs_combo,65
Spain,2000,disc3,1,515.414109040875,wvs_combo,65
Spain,2000,disc3,2,538.057908587971,wvs_combo,65
Spain,2000,disc3,3,145.85779755839,wvs_combo,65
Spain,2000,imp4,1,427.348436868089,wvs_combo,65
Spain,2000,imp4,2,478.628513340308,wvs_combo,65
Spain,2000,imp4,3,202.001138604679,wvs_combo,65
Spain,2000,imp4,4,88.3781641250475,wvs_combo,65
Spain,2000,news5,1,98.6706317303777,wvs_combo,65
Spain,2000,news5,2,142.620569380771,wvs_combo,65
Spain,2000,news5,3,110.970726548452,wvs_combo,65
Spain,2000,news5,4,224.223313676155,wvs_combo,65
Spain,2000,news5,5,625.77740141221,wvs_combo,65
Spain,2007,imp4,1,330.936315898882,wvs_combo,65
Spain,2007,imp4,2,516.984696130739,wvs_combo,65
Spain,2007,imp4,3,255.765584087906,wvs_combo,65
Spain,2007,imp4,4,91.5687856617054,wvs_combo,65
Spain,2008,disc3,1,640.51250000642,evs_combo,65
Spain,2008,disc3,2,712.759001142769,evs_combo,65
Spain,2008,disc3,3,144.687657776232,evs_combo,65
Spain,2008,imp4,1,550.130109331206,evs_combo,65
Spain,2008,imp4,2,548.100717375891,evs_combo,65
Spain,2008,imp4,3,315.918753811534,evs_combo,65
Spain,2008,imp4,4,80.2546764484228,evs_combo,65
Spain,2008,news5,1,117.227465336936,evs_combo,65
Spain,2008,news5,2,203.554162854996,evs_combo,65
Spain,2008,news5,3,198.435800463231,evs_combo,65
Spain,2008,news5,4,317.949001205711,evs_combo,65
Spain,2008,news5,5,658.850767426586,evs_combo,65
Spain,2011,imp4,1,434.128132792011,wvs_combo,65
Spain,2011,imp4,2,487.745583438355,wvs_combo,65
Spain,2011,imp4,3,188.018257157979,wvs_combo,65
Spain,2011,imp4,4,70.2544721524445,wvs_combo,65
Spain,2017,imp4,1,290.389002051432,evs2017,65
Spain,2017,imp4,2,432.223053405435,evs2017,65
Spain,2017,imp4,3,317.830727033959,evs2017,65
Spain,2017,imp4,4,166.661616523255,evs2017,65
Germany,1981,disc3,1,265.862573917228,evs_combo,60
Germany,1981,disc3,2,728.078094600259,evs_combo,60
Germany,1981,disc3,3,291.464436589229,evs_combo,60
Germany,1990,disc3,1,483.365522164293,evs_combo,60
Germany,1990,disc3,2,1902.57835707973,evs_combo,60
Germany,1990,disc3,3,1015.11561267758,evs_combo,60
Germany,1990,imp4,1,440.906676234369,evs_combo,60
Germany,1990,imp4,2,1398.50779587181,evs_combo,60
Germany,1990,imp4,3,1153.79560595234,evs_combo,60
Germany,1990,imp4,4,346.773135220113,evs_combo,60
Germany,1997,disc3,1,221,wvs_combo,60
Germany,1997,disc3,2,1236,wvs_combo,60
Germany,1997,disc3,3,559,wvs_combo,60
Germany,1997,imp4,1,193,wvs_combo,60
Germany,1997,imp4,2,790,wvs_combo,60
Germany,1997,imp4,3,804,wvs_combo,60
Germany,1997,imp4,4,221,wvs_combo,60
Germany,1999,disc3,1,323.576392883132,evs_combo,60
Germany,1999,disc3,2,1228.28259073832,evs_combo,60
Germany,1999,disc3,3,462.210490739252,evs_combo,60
Germany,1999,imp4,1,391.915809710033,evs_combo,60
Germany,1999,imp4,2,828.480098450166,evs_combo,60
Germany,1999,imp4,3,605.72404983985,evs_combo,60
Germany,1999,imp4,4,188.743372368384,evs_combo,60
Germany,1999,news5,1,26.3837037793736,evs_combo,60
Germany,1999,news5,2,116.281397716158,evs_combo,60
Germany,1999,news5,3,140.801508512553,evs_combo,60
Germany,1999,news5,4,507.87121202594,evs_combo,60
Germany,1999,news5,5,1244.66217796596,evs_combo,60
Germany,2006,imp4,1,355.121594774807,wvs_combo,60
Germany,2006,imp4,2,827.242962440596,wvs_combo,60
Germany,2006,imp4,3,674.966217677944,wvs_combo,60
Germany,2006,imp4,4,194.623411809009,wvs_combo,60
